-0.19591,-0.72764,-1.5953,-2.7987,-4.3939,-6.325,-8.592,-11.195,-14.189,-17.52,-21.186,-25.188,-29.582,-34.312,-39.378,-44.779,-50.572,-56.701,-63.167,-69.967
-0.16215,-0.60227,-1.3204,-2.3164,-3.6367,-5.2351,-7.1114,-9.2657,-11.744,-14.501,-17.536,-20.848,-24.484,-28.4,-32.592,-37.063,-41.858,-46.93,-52.281,-57.91
-0.1365,-0.50701,-1.1115,-1.9501,-3.0616,-4.4071,-5.9867,-7.8003,-9.8867,-12.207,-14.762,-17.551,-20.612,-23.908,-27.438,-31.201,-35.237,-39.508,-44.013,-48.752
-0.11515,-0.42769,-0.93765,-1.645,-2.5826,-3.7176,-5.05,-6.5799,-8.3399,-10.297,-12.453,-14.805,-17.387,-20.168,-23.145,-26.319,-29.724,-33.328,-37.127,-41.124
-0.096422,-0.35814,-0.78516,-1.3775,-2.1626,-3.113,-4.2288,-5.5099,-6.9837,-8.6229,-10.427,-12.397,-14.56,-16.888,-19.381,-22.039,-24.891,-27.907,-31.09,-34.437
-0.079446,-0.29508,-0.64692,-1.1349,-1.7818,-2.565,-3.4843,-4.5398,-5.7541,-7.1048,-8.5916,-10.215,-11.996,-13.915,-15.969,-18.159,-20.508,-22.994,-25.616,-28.374
-0.063682,-0.23653,-0.51855,-0.90974,-1.4283,-2.056,-2.7928,-3.6389,-4.6123,-5.695,-6.8867,-8.1876,-9.616,-11.154,-12.8,-14.556,-16.439,-18.431,-20.533,-22.743
-0.048768,-0.18114,-0.39712,-0.69671,-1.0938,-1.5745,-2.1389,-2.7868,-3.5323,-4.3613,-5.2741,-6.2704,-7.3642,-8.5416,-9.8023,-11.147,-12.589,-14.115,-15.725,-17.418
-0.03445,-0.12796,-0.28052,-0.49215,-0.77267,-1.1123,-1.5109,-1.9686,-2.4952,-3.0808,-3.7255,-4.4293,-5.202,-6.0337,-6.9245,-7.8743,-8.893,-9.971,-11.108,-12.304
-0.020522,-0.076223,-0.16711,-0.29317,-0.46028,-0.66256,-0.90003,-1.1727,-1.4863,-1.8353,-2.2193,-2.6385,-3.0988,-3.5943,-4.1249,-4.6907,-5.2976,-5.9397,-6.6169,-7.3293
-0.0068166,-0.025319,-0.055507,-0.09738,-0.15289,-0.22007,-0.29895,-0.38952,-0.49372,-0.6096,-0.73717,-0.87642,-1.0293,-1.1939,-1.3701,-1.5581,-1.7597,-1.9729,-2.1978,-2.4345
0.0068162,0.025317,0.055504,0.097375,0.15288,0.22007,0.29894,0.3895,0.49369,0.60957,0.73713,0.87638,1.0293,1.1939,1.3701,1.558,1.7596,1.9729,2.1978,2.4344
0.020522,0.076223,0.16711,0.29317,0.46027,0.66255,0.90002,1.1727,1.4863,1.8352,2.2193,2.6385,3.0987,3.5942,4.1248,4.6907,5.2975,5.9396,6.6167,7.3291
0.03445,0.12796,0.28052,0.49214,0.77266,1.1122,1.5109,1.9686,2.4952,3.0808,3.7255,4.4293,5.2019,6.0336,6.9244,7.8743,8.893,9.9709,11.108,12.304
0.048768,0.18114,0.39712,0.6967,1.0938,1.5745,2.1389,2.7868,3.5322,4.3613,5.274,6.2703,7.3641,8.5416,9.8023,11.147,12.589,14.115,15.725,17.418
0.063682,0.23653,0.51855,0.90973,1.4283,2.056,2.7928,3.6389,4.6123,5.695,6.8867,8.1876,9.6158,11.153,12.8,14.556,16.439,18.431,20.533,22.743
0.079446,0.29508,0.64691,1.1349,1.7818,2.565,3.4843,4.5398,5.7541,7.1048,8.5915,10.214,11.996,13.915,15.969,18.159,20.508,22.994,25.616,28.374
0.096421,0.35814,0.78516,1.3775,2.1626,3.113,4.2288,5.5098,6.9837,8.6229,10.427,12.397,14.559,16.888,19.381,22.039,24.89,27.907,31.09,34.437
0.11515,0.42769,0.93765,1.645,2.5825,3.7176,5.05,6.5798,8.3399,10.297,12.452,14.805,17.387,20.168,23.145,26.319,29.724,33.327,37.127,41.124
0.1365,0.50701,1.1115,1.9501,3.0616,4.4071,5.9867,7.8002,9.8867,12.207,14.762,17.551,20.612,23.908,27.438,31.201,35.237,39.508,44.013,48.751
0.16215,0.60226,1.3204,2.3164,3.6367,5.235,7.1113,9.2656,11.744,14.501,17.536,20.848,24.484,28.4,32.592,37.062,41.857,46.93,52.281,57.91
0.19591,0.72764,1.5953,2.7987,4.3939,6.325,8.5919,11.195,14.189,17.52,21.186,25.188,29.582,34.312,39.378,44.779,50.572,56.701,63.166,69.967
0.20311,0.75443,1.6539,2.9016,4.5555,6.5576,8.9079,11.606,14.711,18.164,21.966,26.114,30.67,35.574,40.826,46.426,52.432,58.787,65.489,72.54
0.21097,0.78361,1.7179,3.0139,4.7318,6.8113,9.2525,12.055,15.28,18.867,22.815,27.125,31.856,36.95,42.405,48.222,54.461,61.061,68.023,75.347
0.21964,0.81582,1.7885,3.1378,4.9264,7.0914,9.6334,12.551,15.909,19.643,23.753,28.24,33.166,38.47,44.149,50.205,56.7,63.572,70.82,78.445
0.22937,0.85199,1.8678,3.2768,5.1446,7.4056,10.06,13.107,16.614,20.513,24.805,29.492,34.636,40.174,46.105,52.429,59.212,66.388,73.958,81.921
0.24052,0.89338,1.9586,3.4361,5.3947,7.7655,10.549,13.744,17.421,21.51,26.011,30.925,36.319,42.127,48.346,54.977,62.09,69.615,77.552,85.902
0.25368,0.94227,2.0657,3.6241,5.6897,8.1904,11.126,14.496,18.374,22.687,27.435,32.617,38.306,44.431,50.99,57.985,65.486,73.424,81.795,90.601
0.26994,1.0027,2.1982,3.8563,6.0544,8.7153,11.839,15.425,19.552,24.14,29.193,34.707,40.761,47.279,54.258,61.701,69.684,78.13,87.037,96.408
0.29168,1.0834,2.3751,4.1669,6.542,9.417,12.792,16.668,21.126,26.084,31.543,37.502,44.044,51.086,58.628,66.67,75.296,84.421,94.047,104.17
0.32619,1.2115,2.6561,4.6599,7.316,10.531,14.306,18.639,23.626,29.171,35.275,41.939,49.255,57.13,65.564,74.558,84.204,94.409,105.17,116.5
0.32786,1.2177,2.6697,4.6837,7.3534,10.585,14.379,18.735,23.746,29.32,35.456,42.153,49.507,57.423,65.9,74.939,84.635,94.892,105.71,117.09
0.32958,1.2242,2.6837,4.7083,7.3921,10.641,14.454,18.833,23.871,29.474,35.642,42.375,49.767,57.724,66.246,75.333,85.079,95.391,106.27,117.71
0.33136,1.2308,2.6982,4.7338,7.432,10.698,14.532,18.935,24,29.633,35.835,42.604,50.036,58.036,66.605,75.74,85.54,95.908,106.85,118.34
0.3332,1.2376,2.7133,4.7601,7.4733,10.758,14.614,19.04,24.134,29.798,36.034,42.841,50.314,58.359,66.975,76.161,86.015,96.438,107.43,119
0.33511,1.2447,2.7288,4.7874,7.5161,10.82,14.697,19.149,24.272,29.969,36.241,43.086,50.602,58.693,67.358,76.598,86.507,96.992,108.05,119.68
0.3371,1.252,2.7449,4.8156,7.5605,10.883,14.784,19.263,24.415,30.146,36.455,43.341,50.901,59.04,67.756,77.05,87.019,97.566,108.69,120.39
0.33915,1.2597,2.7616,4.8451,7.6067,10.95,14.874,19.38,24.564,30.331,36.677,43.606,51.212,59.401,68.17,77.521,87.55,98.16,109.35,121.13
0.3413,1.2677,2.7791,4.8757,7.6548,11.019,14.968,19.503,24.719,30.522,36.909,43.881,51.536,59.776,68.601,78.011,88.103,98.781,110.05,121.89
0.34354,1.276,2.7973,4.9076,7.705,11.091,15.067,19.631,24.882,30.722,37.151,44.169,51.873,60.168,69.05,78.522,88.681,99.431,110.77,122.69
0.34587,1.2847,2.8164,4.941,7.7574,11.167,15.169,19.764,25.051,30.931,37.404,44.469,52.226,60.577,69.521,79.057,89.285,100.1,111.52,123.53
0.34832,1.2938,2.8364,4.9761,7.8124,11.246,15.276,19.904,25.228,31.15,37.669,44.785,52.597,61.007,70.013,79.617,89.917,100.81,112.31,124.4
0.3509,1.3033,2.8573,5.0129,7.8702,11.329,15.39,20.051,25.415,31.38,37.948,45.116,52.986,61.458,70.531,80.206,90.582,101.56,113.14,125.32
0.35362,1.3134,2.8795,5.0516,7.9311,11.417,15.508,20.207,25.612,31.623,38.241,45.465,53.396,61.933,71.077,80.826,91.283,102.34,114.02,126.29
0.35649,1.3241,2.9028,5.0927,7.9954,11.509,15.634,20.371,25.82,31.88,38.552,45.834,53.829,62.436,71.654,81.483,92.025,103.18,114.95,127.32
